Date,Count
18-Aug-16,1
18-Aug-16,21
18-Aug-16,31
18-Aug-16,9
18-Aug-16,48
17-Aug-16,12
17-Aug-16,3
17-Aug-16,216
17-Aug-16,26
17-Aug-16,3
17-Aug-16,2
17-Aug-16,29
17-Aug-16,1
17-Aug-16,46
17-Aug-16,5
17-Aug-16,3
17-Aug-16,2
17-Aug-16,450
17-Aug-16,10
17-Aug-16,1
17-Aug-16,87
17-Aug-16,10
17-Aug-16,2
17-Aug-16,26
17-Aug-16,3
17-Aug-16,80
17-Aug-16,3
17-Aug-16,1
17-Aug-16,1
17-Aug-16,1
17-Aug-16,5
17-Aug-16,6
17-Aug-16,2
17-Aug-16,1
17-Aug-16,76
17-Aug-16,3
17-Aug-16,5
17-Aug-16,53
17-Aug-16,16
17-Aug-16,1
17-Aug-16,1
17-Aug-16,3552
17-Aug-16,37
17-Aug-16,6
17-Aug-16,1
17-Aug-16,2
17-Aug-16,63
17-Aug-16,1
17-Aug-16,2
17-Aug-16,1
17-Aug-16,2
17-Aug-16,1020
17-Aug-16,1
17-Aug-16,96
17-Aug-16,54
17-Aug-16,1
17-Aug-16,812
17-Aug-16,420
17-Aug-16,14
17-Aug-16,2
17-Aug-16,27
17-Aug-16,33
17-Aug-16,1
17-Aug-16,8
17-Aug-16,50
17-Aug-16,2
17-Aug-16,26
17-Aug-16,9
17-Aug-16,1
17-Aug-16,167
17-Aug-16,6
17-Aug-16,3
17-Aug-16,1
17-Aug-16,19
17-Aug-16,3
17-Aug-16,333
17-Aug-16,45
17-Aug-16,292
17-Aug-16,112
17-Aug-16,1
17-Aug-16,6
17-Aug-16,409
17-Aug-16,7
17-Aug-16,18
17-Aug-16,19
17-Aug-16,54
17-Aug-16,4
17-Aug-16,31
17-Aug-16,27
17-Aug-16,11
17-Aug-16,12
17-Aug-16,140
17-Aug-16,1
17-Aug-16,33
17-Aug-16,2
17-Aug-16,12
17-Aug-16,33
17-Aug-16,1
17-Aug-16,1586
16-Aug-16,17
16-Aug-16,4
16-Aug-16,9
16-Aug-16,1
16-Aug-16,18
16-Aug-16,48
16-Aug-16,35
16-Aug-16,1
16-Aug-16,46
16-Aug-16,1
16-Aug-16,42
16-Aug-16,1
16-Aug-16,1
16-Aug-16,1
16-Aug-16,855
16-Aug-16,128
16-Aug-16,8
16-Aug-16,420
16-Aug-16,1
16-Aug-16,11
16-Aug-16,6
16-Aug-16,13
16-Aug-16,13
16-Aug-16,275
16-Aug-16,30
16-Aug-16,6
16-Aug-16,1
16-Aug-16,3
16-Aug-16,1
16-Aug-16,444
16-Aug-16,4
16-Aug-16,4
16-Aug-16,41
16-Aug-16,1
16-Aug-16,3
16-Aug-16,173
16-Aug-16,53
16-Aug-16,1
16-Aug-16,3
16-Aug-16,88
16-Aug-16,96
16-Aug-16,11
16-Aug-16,3
